UV_CACHE_DIR=.uv-cache uv run pytest tests/integration/cognition/test_persona_policy_quantitative.py -s --no-cov
============================= test session starts ==============================
platform darwin -- Python 3.12.13, pytest-8.4.2, pluggy-1.6.0
rootdir: /Users/cassia/Local/Code/iris_memory_core
configfile: pyproject.toml
plugins: cov-7.1.0, anyio-4.15.0
collected 2800 items

tests/integration/cognition/test_persona_policy_quantitative.py W03 locked/0: rejected by locked policy forbids Persona proposals; current unchanged
.W03 allowlist/110: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/111: accepted at boundary; one Current revision
.W03 allowlist/112: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/113: accepted at boundary; one Current revision
.W03 allowlist/114: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/115: accepted at boundary; one Current revision
.W03 allowlist/116: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/117: accepted at boundary; one Current revision
.W03 allowlist/118: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/119: accepted at boundary; one Current revision
.W03 allowlist/120: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/121: accepted at boundary; one Current revision
.W03 allowlist/122: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/123: accepted at boundary; one Current revision
.W03 allowlist/124: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/125: accepted at boundary; one Current revision
.W03 allowlist/126: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/127: accepted at boundary; one Current revision
.W03 allowlist/128: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/129: accepted at boundary; one Current revision
.W03 allowlist/130: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/131: accepted at boundary; one Current revision
.W03 allowlist/132: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/133: accepted at boundary; one Current revision
.W03 allowlist/134: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/135: accepted at boundary; one Current revision
.W03 allowlist/136: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/137: accepted at boundary; one Current revision
.W03 allowlist/138: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/139: accepted at boundary; one Current revision
.W03 allowlist/140: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/141: accepted at boundary; one Current revision
.W03 allowlist/142: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/143: accepted at boundary; one Current revision
.W03 allowlist/144: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/145: accepted at boundary; one Current revision
.W03 allowlist/146: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/147: accepted at boundary; one Current revision
.W03 allowlist/148: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/149: accepted at boundary; one Current revision
.W03 allowlist/150: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/151: accepted at boundary; one Current revision
.W03 allowlist/152: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/153: accepted at boundary; one Current revision
.W03 allowlist/154: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/155: accepted at boundary; one Current revision
.W03 allowlist/156: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/157: accepted at boundary; one Current revision
.W03 allowlist/158: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/159: accepted at boundary; one Current revision
.W03 allowlist/160: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/161: accepted at boundary; one Current revision
.W03 allowlist/162: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/163: accepted at boundary; one Current revision
.W03 allowlist/164: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/165: accepted at boundary; one Current revision
.W03 allowlist/166: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/167: accepted at boundary; one Current revision
.W03 allowlist/168: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/169: accepted at boundary; one Current revision
.W03 allowlist/170: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/171: accepted at boundary; one Current revision
.W03 allowlist/172: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/173: accepted at boundary; one Current revision
.W03 allowlist/174: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/175: accepted at boundary; one Current revision
.W03 allowlist/176: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/177: accepted at boundary; one Current revision
.W03 allowlist/178: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/179: accepted at boundary; one Current revision
.W03 allowlist/180: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/181: accepted at boundary; one Current revision
.W03 allowlist/182: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/183: accepted at boundary; one Current revision
.W03 allowlist/184: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/185: accepted at boundary; one Current revision
.W03 allowlist/186: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/187: accepted at boundary; one Current revision
.W03 allowlist/188: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/189: accepted at boundary; one Current revision
.W03 allowlist/190: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/191: accepted at boundary; one Current revision
.W03 allowlist/192: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/193: accepted at boundary; one Current revision
.W03 allowlist/194: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/195: accepted at boundary; one Current revision
.W03 allowlist/196: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/197: accepted at boundary; one Current revision
.W03 allowlist/198: rejected by outside the policy allowlist; current unchanged
.W03 allowlist/199: accepted at boundary; one Current revision
.W03 single_delta/0: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/1: accepted at boundary; one Current revision
.W03 single_delta/2: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/3: accepted at boundary; one Current revision
.W03 single_delta/4: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/5: accepted at boundary; one Current revision
.W03 single_delta/6: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/7: accepted at boundary; one Current revision
.W03 single_delta/8: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/9: accepted at boundary; one Current revision
.W03 single_delta/10: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/11: accepted at boundary; one Current revision
.W03 single_delta/12: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/13: accepted at boundary; one Current revision
.W03 single_delta/14: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/15: accepted at boundary; one Current revision
.W03 single_delta/16: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/17: accepted at boundary; one Current revision
.W03 single_delta/18: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/19: accepted at boundary; one Current revision
.W03 single_delta/20: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/21: accepted at boundary; one Current revision
.W03 single_delta/22: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/23: accepted at boundary; one Current revision
.W03 single_delta/24: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/25: accepted at boundary; one Current revision
.W03 single_delta/26: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/27: accepted at boundary; one Current revision
.W03 single_delta/28: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/29: accepted at boundary; one Current revision
.W03 single_delta/30: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/31: accepted at boundary; one Current revision
.W03 single_delta/32: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/33: accepted at boundary; one Current revision
.W03 single_delta/34: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/35: accepted at boundary; one Current revision
.W03 single_delta/36: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/37: accepted at boundary; one Current revision
.W03 single_delta/38: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/39: accepted at boundary; one Current revision
.W03 single_delta/40: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/41: accepted at boundary; one Current revision
.W03 single_delta/42: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/43: accepted at boundary; one Current revision
.W03 single_delta/44: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/45: accepted at boundary; one Current revision
.W03 single_delta/46: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/47: accepted at boundary; one Current revision
.W03 single_delta/48: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/49: accepted at boundary; one Current revision
.W03 single_delta/50: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/51: accepted at boundary; one Current revision
.W03 single_delta/52: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/53: accepted at boundary; one Current revision
.W03 single_delta/54: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/55: accepted at boundary; one Current revision
.W03 single_delta/56: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/57: accepted at boundary; one Current revision
.W03 single_delta/58: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/59: accepted at boundary; one Current revision
.W03 single_delta/60: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/61: accepted at boundary; one Current revision
.W03 single_delta/62: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/63: accepted at boundary; one Current revision
.W03 single_delta/64: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/65: accepted at boundary; one Current revision
.W03 single_delta/66: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/67: accepted at boundary; one Current revision
.W03 single_delta/68: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/69: accepted at boundary; one Current revision
.W03 single_delta/70: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/71: accepted at boundary; one Current revision
.W03 single_delta/72: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/73: accepted at boundary; one Current revision
.W03 single_delta/74: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/75: accepted at boundary; one Current revision
.W03 single_delta/76: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/77: accepted at boundary; one Current revision
.W03 single_delta/78: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/79: accepted at boundary; one Current revision
.W03 single_delta/80: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/81: accepted at boundary; one Current revision
.W03 single_delta/82: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/83: accepted at boundary; one Current revision
.W03 single_delta/84: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/85: accepted at boundary; one Current revision
.W03 single_delta/86: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/87: accepted at boundary; one Current revision
.W03 single_delta/88: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/89: accepted at boundary; one Current revision
.W03 single_delta/90: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/91: accepted at boundary; one Current revision
.W03 single_delta/92: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/93: accepted at boundary; one Current revision
.W03 single_delta/94: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/95: accepted at boundary; one Current revision
.W03 single_delta/96: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/97: accepted at boundary; one Current revision
.W03 single_delta/98: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/99: accepted at boundary; one Current revision
.W03 single_delta/100: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/101: accepted at boundary; one Current revision
.W03 single_delta/102: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/103: accepted at boundary; one Current revision
.W03 single_delta/104: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/105: accepted at boundary; one Current revision
.W03 single_delta/106: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/107: accepted at boundary; one Current revision
.W03 single_delta/108: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/109: accepted at boundary; one Current revision
.W03 single_delta/110: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/111: accepted at boundary; one Current revision
.W03 single_delta/112: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/113: accepted at boundary; one Current revision
.W03 single_delta/114: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/115: accepted at boundary; one Current revision
.W03 single_delta/116: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/117: accepted at boundary; one Current revision
.W03 single_delta/118: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/119: accepted at boundary; one Current revision
.W03 single_delta/120: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/121: accepted at boundary; one Current revision
.W03 single_delta/122: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/123: accepted at boundary; one Current revision
.W03 single_delta/124: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/125: accepted at boundary; one Current revision
.W03 single_delta/126: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/127: accepted at boundary; one Current revision
.W03 single_delta/128: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/129: accepted at boundary; one Current revision
.W03 single_delta/130: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/131: accepted at boundary; one Current revision
.W03 single_delta/132: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/133: accepted at boundary; one Current revision
.W03 single_delta/134: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/135: accepted at boundary; one Current revision
.W03 single_delta/136: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/137: accepted at boundary; one Current revision
.W03 single_delta/138: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/139: accepted at boundary; one Current revision
.W03 single_delta/140: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/141: accepted at boundary; one Current revision
.W03 single_delta/142: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/143: accepted at boundary; one Current revision
.W03 single_delta/144: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/145: accepted at boundary; one Current revision
.W03 single_delta/146: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/147: accepted at boundary; one Current revision
.W03 single_delta/148: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/149: accepted at boundary; one Current revision
.W03 single_delta/150: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/151: accepted at boundary; one Current revision
.W03 single_delta/152: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/153: accepted at boundary; one Current revision
.W03 single_delta/154: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/155: accepted at boundary; one Current revision
.W03 single_delta/156: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/157: accepted at boundary; one Current revision
.W03 single_delta/158: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/159: accepted at boundary; one Current revision
.W03 single_delta/160: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/161: accepted at boundary; one Current revision
.W03 single_delta/162: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/163: accepted at boundary; one Current revision
.W03 single_delta/164: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/165: accepted at boundary; one Current revision
.W03 single_delta/166: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/167: accepted at boundary; one Current revision
.W03 single_delta/168: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/169: accepted at boundary; one Current revision
.W03 single_delta/170: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/171: accepted at boundary; one Current revision
.W03 single_delta/172: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/173: accepted at boundary; one Current revision
.W03 single_delta/174: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/175: accepted at boundary; one Current revision
.W03 single_delta/176: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/177: accepted at boundary; one Current revision
.W03 single_delta/178: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/179: accepted at boundary; one Current revision
.W03 single_delta/180: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/181: accepted at boundary; one Current revision
.W03 single_delta/182: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/183: accepted at boundary; one Current revision
.W03 single_delta/184: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/185: accepted at boundary; one Current revision
.W03 single_delta/186: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/187: accepted at boundary; one Current revision
.W03 single_delta/188: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/189: accepted at boundary; one Current revision
.W03 single_delta/190: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/191: accepted at boundary; one Current revision
.W03 single_delta/192: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/193: accepted at boundary; one Current revision
.W03 single_delta/194: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/195: accepted at boundary; one Current revision
.W03 single_delta/196: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/197: accepted at boundary; one Current revision
.W03 single_delta/198: rejected by per-change magnitude limit; current unchanged
.W03 single_delta/199: accepted at boundary; one Current revision
.W03 cumulative_delta/0: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/1: accepted at boundary; one Current revision
.W03 cumulative_delta/2: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/3: accepted at boundary; one Current revision
.W03 cumulative_delta/4: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/5: accepted at boundary; one Current revision
.W03 cumulative_delta/6: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/7: accepted at boundary; one Current revision
.W03 cumulative_delta/8: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/9: accepted at boundary; one Current revision
.W03 cumulative_delta/10: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/11: accepted at boundary; one Current revision
.W03 cumulative_delta/12: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/13: accepted at boundary; one Current revision
.W03 cumulative_delta/14: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/15: accepted at boundary; one Current revision
.W03 cumulative_delta/16: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/17: accepted at boundary; one Current revision
.W03 cumulative_delta/18: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/19: accepted at boundary; one Current revision
.W03 cumulative_delta/20: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/21: accepted at boundary; one Current revision
.W03 cumulative_delta/22: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/23: accepted at boundary; one Current revision
.W03 cumulative_delta/24: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/25: accepted at boundary; one Current revision
.W03 cumulative_delta/26: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/27: accepted at boundary; one Current revision
.W03 cumulative_delta/28: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/29: accepted at boundary; one Current revision
.W03 cumulative_delta/30: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/31: accepted at boundary; one Current revision
.W03 cumulative_delta/32: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/33: accepted at boundary; one Current revision
.W03 cumulative_delta/34: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/35: accepted at boundary; one Current revision
.W03 cumulative_delta/36: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/37: accepted at boundary; one Current revision
.W03 cumulative_delta/38: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/39: accepted at boundary; one Current revision
.W03 cumulative_delta/40: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/41: accepted at boundary; one Current revision
.W03 cumulative_delta/42: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/43: accepted at boundary; one Current revision
.W03 cumulative_delta/44: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/45: accepted at boundary; one Current revision
.W03 cumulative_delta/46: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/47: accepted at boundary; one Current revision
.W03 cumulative_delta/48: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/49: accepted at boundary; one Current revision
.W03 cumulative_delta/50: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/51: accepted at boundary; one Current revision
.W03 cumulative_delta/52: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/53: accepted at boundary; one Current revision
.W03 cumulative_delta/54: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/55: accepted at boundary; one Current revision
.W03 cumulative_delta/56: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/57: accepted at boundary; one Current revision
.W03 cumulative_delta/58: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/59: accepted at boundary; one Current revision
.W03 cumulative_delta/60: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/61: accepted at boundary; one Current revision
.W03 cumulative_delta/62: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/63: accepted at boundary; one Current revision
.W03 cumulative_delta/64: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/65: accepted at boundary; one Current revision
.W03 cumulative_delta/66: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/67: accepted at boundary; one Current revision
.W03 cumulative_delta/68: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/69: accepted at boundary; one Current revision
.W03 cumulative_delta/70: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/71: accepted at boundary; one Current revision
.W03 cumulative_delta/72: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/73: accepted at boundary; one Current revision
.W03 cumulative_delta/74: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/75: accepted at boundary; one Current revision
.W03 cumulative_delta/76: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/77: accepted at boundary; one Current revision
.W03 cumulative_delta/78: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/79: accepted at boundary; one Current revision
.W03 cumulative_delta/80: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/81: accepted at boundary; one Current revision
.W03 cumulative_delta/82: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/83: accepted at boundary; one Current revision
.W03 cumulative_delta/84: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/85: accepted at boundary; one Current revision
.W03 cumulative_delta/86: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/87: accepted at boundary; one Current revision
.W03 cumulative_delta/88: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/89: accepted at boundary; one Current revision
.W03 cumulative_delta/90: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/91: accepted at boundary; one Current revision
.W03 cumulative_delta/92: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/93: accepted at boundary; one Current revision
.W03 cumulative_delta/94: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/95: accepted at boundary; one Current revision
.W03 cumulative_delta/96: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/97: accepted at boundary; one Current revision
.W03 cumulative_delta/98: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/99: accepted at boundary; one Current revision
.W03 cumulative_delta/100: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/101: accepted at boundary; one Current revision
.W03 cumulative_delta/102: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/103: accepted at boundary; one Current revision
.W03 cumulative_delta/104: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/105: accepted at boundary; one Current revision
.W03 cumulative_delta/106: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/107: accepted at boundary; one Current revision
.W03 cumulative_delta/108: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/109: accepted at boundary; one Current revision
.W03 cumulative_delta/110: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/111: accepted at boundary; one Current revision
.W03 cumulative_delta/112: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/113: accepted at boundary; one Current revision
.W03 cumulative_delta/114: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/115: accepted at boundary; one Current revision
.W03 cumulative_delta/116: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/117: accepted at boundary; one Current revision
.W03 cumulative_delta/118: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/119: accepted at boundary; one Current revision
.W03 cumulative_delta/120: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/121: accepted at boundary; one Current revision
.W03 cumulative_delta/122: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/123: accepted at boundary; one Current revision
.W03 cumulative_delta/124: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/125: accepted at boundary; one Current revision
.W03 cumulative_delta/126: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/127: accepted at boundary; one Current revision
.W03 cumulative_delta/128: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/129: accepted at boundary; one Current revision
.W03 cumulative_delta/130: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/131: accepted at boundary; one Current revision
.W03 cumulative_delta/132: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/133: accepted at boundary; one Current revision
.W03 cumulative_delta/134: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/135: accepted at boundary; one Current revision
.W03 cumulative_delta/136: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/137: accepted at boundary; one Current revision
.W03 cumulative_delta/138: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/139: accepted at boundary; one Current revision
.W03 cumulative_delta/140: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/141: accepted at boundary; one Current revision
.W03 cumulative_delta/142: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/143: accepted at boundary; one Current revision
.W03 cumulative_delta/144: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/145: accepted at boundary; one Current revision
.W03 cumulative_delta/146: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/147: accepted at boundary; one Current revision
.W03 cumulative_delta/148: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/149: accepted at boundary; one Current revision
.W03 cumulative_delta/150: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/151: accepted at boundary; one Current revision
.W03 cumulative_delta/152: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/153: accepted at boundary; one Current revision
.W03 cumulative_delta/154: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/155: accepted at boundary; one Current revision
.W03 cumulative_delta/156: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/157: accepted at boundary; one Current revision
.W03 cumulative_delta/158: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/159: accepted at boundary; one Current revision
.W03 cumulative_delta/160: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/161: accepted at boundary; one Current revision
.W03 cumulative_delta/162: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/163: accepted at boundary; one Current revision
.W03 cumulative_delta/164: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/165: accepted at boundary; one Current revision
.W03 cumulative_delta/166: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/167: accepted at boundary; one Current revision
.W03 cumulative_delta/168: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/169: accepted at boundary; one Current revision
.W03 cumulative_delta/170: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/171: accepted at boundary; one Current revision
.W03 cumulative_delta/172: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/173: accepted at boundary; one Current revision
.W03 cumulative_delta/174: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/175: accepted at boundary; one Current revision
.W03 cumulative_delta/176: rejected by cumulative magnitude limit; current unchanged
.W03 cumulative_delta/177: accepted at boundary; one Current revision
.W03 cumulative_delta/178: rejected by cumulative magnitude limit; current unchanged
